agent_name,inventory,backlog,placed_order,weekly_cost
Distributor,236,0,0,416
Wholesaler,150,43,36,257
Retailer,87,0,30,90
Distributor,236,36,0,465
Wholesaler,107,30,53,92
Retailer,90,0,3,115
Distributor,200,53,6,147
Wholesaler,77,3,0,205
Retailer,115,0,19,113
Distributor,147,0,0,147
Wholesaler,110,19,0,214
Retailer,113,0,14,101
Distributor,147,0,0,153
Wholesaler,144,14,0,340
Retailer,101,0,42,89
Distributor,153,0,0,423
Wholesaler,130,42,54,333
Retailer,89,0,49,77
Distributor,153,54,55,649
Wholesaler,88,49,110,294
Retailer,77,0,51,84
Distributor,99,110,199,600
Wholesaler,39,51,109,42
Retailer,84,0,0,117
Distributor,0,120,155,325
Wholesaler,42,0,0,141
Retailer,117,0,0,140
Distributor,0,65,130,35
Wholesaler,141,0,0,276
Retailer,140,0,16,112
Distributor,35,0,0,135
Wholesaler,196,16,0,395
Retailer,112,0,30,91
Distributor,135,0,0,235
Wholesaler,245,30,0,440
Retailer,91,0,45,81
Distributor,235,0,0,335
Wholesaler,215,45,0,465
Retailer,81,0,59,76
Distributor,335,0,0,659
Wholesaler,170,59,48,216
Retailer,76,0,21,100
Distributor,419,48,0,526
Wholesaler,111,21,31,495
Retailer,100,0,81,89
Distributor,371,31,0,960
Wholesaler,90,81,124,167
Retailer,89,0,22,94
Distributor,340,124,8,496
Wholesaler,57,22,56,66
Retailer,94,0,0,142
Distributor,216,56,0,160
Wholesaler,66,0,0,220
Retailer,142,0,6,129
Distributor,160,0,0,168
Wholesaler,190,6,0,415
Retailer,129,0,35,97
Distributor,168,0,0,168
Wholesaler,240,35,0,340
Retailer,97,0,27,88
Distributor,168,0,0,168
Wholesaler,205,27,0,363
Retailer,88,0,37,93
Distributor,168,0,0,168
Wholesaler,178,37,0,351
Retailer,93,0,42,89
Distributor,168,0,0,383
Wholesaler,141,42,43,129
Retailer,89,0,6,110
Distributor,168,43,18,190
Wholesaler,99,6,13,153
Retailer,110,0,12,120
Distributor,125,13,1,112
Wholesaler,93,12,0,294
Retailer,120,0,34,96
Distributor,112,0,0,285
Wholesaler,124,34,31,283
Retailer,96,0,36,86
Distributor,130,31,31,445
Wholesaler,103,36,69,167
Retailer,86,0,20,100
Distributor,100,69,138,241
Wholesaler,67,20,42,78
Retailer,100,0,0,121
Distributor,31,42,122,20
Wholesaler,78,0,0,242
Retailer,121,0,19,111
Distributor,20,0,0,120
Wholesaler,147,19,0,435
Retailer,111,0,53,79
Distributor,120,0,0,400
Wholesaler,170,53,36,357
Retailer,79,0,48,75
Distributor,220,36,0,639
Wholesaler,117,48,79,159
Retailer,75,0,18,105
Distributor,244,79,14,320
Wholesaler,69,18,31,162
Retailer,105,0,15,119
Distributor,165,31,0,134
Wholesaler,87,15,0,151
Retailer,119,0,0,120
Distributor,134,0,0,148
Wholesaler,151,0,0,257
Retailer,120,0,15,110
Distributor,148,0,0,148
Wholesaler,182,15,0,367
Retailer,110,0,40,85
Distributor,148,0,0,213
Wholesaler,167,40,13,437
Retailer,85,0,62,69
Distributor,148,13,0,620
Wholesaler,127,62,97,210
Retailer,69,0,29,90
Distributor,135,97,159,438
Wholesaler,65,29,80,49
Retailer,90,0,0,128
Distributor,38,80,138,210
Wholesaler,49,0,0,146
Retailer,128,0,0,138
Distributor,0,42,84,58
Wholesaler,146,0,0,184
Retailer,138,0,0,119
Distributor,58,0,0,158
Wholesaler,184,0,0,381
Retailer,119,0,31,94
Distributor,158,0,0,258
Wholesaler,226,31,0,475
Retailer,94,0,56,69
Distributor,258,0,0,424
Wholesaler,195,56,17,389
Retailer,69,0,50,75
Distributor,339,17,0,627
Wholesaler,139,50,61,144
Retailer,75,0,11,110
Distributor,322,61,0,341
Wholesaler,89,11,16,115
Retailer,110,0,4,128
Distributor,261,16,0,245
Wholesaler,95,4,0,267
Retailer,128,0,23,108
Distributor,245,0,0,245
Wholesaler,152,23,0,425
Retailer,108,0,56,78
Distributor,245,0,0,580
Wholesaler,145,56,67,264
Retailer,78,0,35,83
Distributor,245,67,0,583
Wholesaler,89,35,81,199
Retailer,83,0,29,105
Distributor,178,81,84,282
Wholesaler,54,29,37,92
Retailer,105,0,0,120
Distributor,97,37,77,60
Wholesaler,92,0,0,178
Retailer,120,0,1,124
Distributor,60,0,0,144
Wholesaler,173,1,0,279
Retailer,124,0,14,105
Distributor,144,0,0,221
Wholesaler,209,14,0,495
Retailer,105,0,60,73
Distributor,221,0,0,346
Wholesaler,195,60,25,400
Retailer,73,0,53,67
Distributor,221,25,0,551
Wholesaler,135,53,71,267
Retailer,67,0,37,95
Distributor,196,71,46,460
Wholesaler,82,37,67,80
Retailer,95,0,2,123
Distributor,100,0,0,100
Wholesaler,100,0,0,420
Retailer,100,0,64,68
Distributor,100,0,0,740
Wholesaler,100,64,128,426
Retailer,68,0,78,45
Distributor,100,128,200,820
Wholesaler,36,78,136,375
Retailer,45,0,33,88
Distributor,0,164,100,1570
Wholesaler,0,75,150,155
Retailer,88,0,26,99
Distributor,0,314,200,1695
Wholesaler,25,26,125,5
Retailer,99,0,0,154
Distributor,0,339,200,1205
Wholesaler,0,1,2,99
Retailer,154,0,0,160
Distributor,0,241,200,705
Wholesaler,99,0,0,199
Retailer,160,0,0,131
Distributor,0,141,200,205
Wholesaler,199,0,0,774
Retailer,131,0,95,68
Distributor,0,41,82,59
Wholesaler,299,95,0,694
Retailer,68,0,78,45
Distributor,59,0,0,159
Wholesaler,304,78,0,347
Retailer,45,0,16,112
Distributor,159,0,0,259
Wholesaler,267,16,0,251
Retailer,112,0,0,173
Distributor,259,0,0,359
Wholesaler,251,0,0,251
Retailer,173,0,0,155
Distributor,359,0,0,459
Wholesaler,251,0,0,251
Retailer,155,0,0,129
Distributor,459,0,0,559
Wholesaler,251,0,0,306
Retailer,129,0,11,109
Distributor,559,0,0,659
Wholesaler,251,11,0,385
Retailer,109,0,29,90
Distributor,659,0,0,741
Wholesaler,240,29,0,556
Retailer,90,0,69,66
Distributor,741,0,0,876
Wholesaler,211,69,27,427
Retailer,66,0,57,69
Distributor,741,27,0,1074
Wholesaler,142,57,72,195
Retailer,69,0,22,108
Distributor,714,72,0,802
Wholesaler,85,22,32,115
Retailer,108,0,5,130
Distributor,642,32,0,610
Wholesaler,90,5,0,157
Retailer,130,0,0,137
Distributor,610,0,0,610
Wholesaler,157,0,0,219
Retailer,137,0,6,118
Distributor,610,0,0,610
Wholesaler,189,6,0,433
Retailer,118,0,50,84
Distributor,610,0,0,695
Wholesaler,183,50,17,413
Retailer,84,0,56,67
Distributor,610,17,0,988
Wholesaler,133,56,79,222
Retailer,67,0,29,94
Distributor,593,79,0,834
Wholesaler,77,29,64,65
Retailer,94,0,0,125
Distributor,514,64,0,450
Wholesaler,65,0,0,144
Retailer,125,0,0,137
Distributor,450,0,0,450
Wholesaler,144,0,0,253
Retailer,137,0,9,114
Distributor,450,0,0,450
Wholesaler,208,9,0,359
Retailer,114,0,32,91
Distributor,450,0,0,450
Wholesaler,199,32,0,327
Retailer,91,0,32,84
Distributor,450,0,0,450
Wholesaler,167,32,0,275
Retailer,84,0,28,94
Distributor,450,0,0,555
Wholesaler,135,28,21,277
Retailer,94,0,34,96
Distributor,450,21,0,734
Wholesaler,107,34,61,263
Retailer,96,0,38,93
Distributor,429,61,0,778
Wholesaler,73,38,82,171
Retailer,93,0,23,102
Distributor,368,82,0,431
Wholesaler,56,23,29,144
Retailer,102,0,10,115
Distributor,286,29,0,257
Wholesaler,94,10,0,286
Retailer,115,0,24,107
Distributor,257,0,0,257
Wholesaler,166,24,0,286
Retailer,107,0,23,97
Distributor,257,0,0,257
Wholesaler,171,23,0,263
Retailer,97,0,23,99
Distributor,257,0,0,257
Wholesaler,148,23,0,165
Retailer,99,0,8,107
Distributor,257,0,0,257
Wholesaler,125,8,0,207
Retailer,107,0,18,106
Distributor,257,0,0,352
Wholesaler,117,18,19,199
Retailer,106,0,20,97
Distributor,257,19,0,443
Wholesaler,99,20,41,174
Retailer,97,0,19,98
Distributor,238,41,0,397
Wholesaler,79,19,40,229
Retailer,98,0,30,94
Distributor,197,40,0,357
Wholesaler,79,30,40,205
Retailer,94,0,23,95
Distributor,157,40,23,197
Wholesaler,90,23,16,132
Retailer,95,0,5,110
Distributor,117,16,15,101
Wholesaler,107,5,0,177
Retailer,110,0,7,113
Distributor,101,0,0,124
Wholesaler,142,7,0,311
Retailer,113,0,32,93
Distributor,124,0,0,204
Wholesaler,151,32,13,339
Retailer,93,0,44,78
Distributor,139,13,0,471
Wholesaler,119,44,69,285
Retailer,78,0,42,84
Distributor,126,69,112,537
Wholesaler,75,42,96,226
Retailer,84,0,36,96
Distributor,57,96,157,480
Wholesaler,46,36,57,189
Retailer,96,0,22,108
Distributor,0,96,192,44
Wholesaler,79,22,8,114
Retailer,108,0,0,125
Distributor,4,8,12,96
Wholesaler,114,0,0,210
Retailer,125,0,0,131
Distributor,96,0,0,196
Wholesaler,210,0,0,253
Retailer,131,0,7,112
Distributor,196,0,0,296
Wholesaler,218,7,0,331
Retailer,112,0,24,94
Distributor,296,0,0,369
Wholesaler,211,24,0,392
Retailer,94,0,41,80
Distributor,369,0,0,369
Wholesaler,187,41,0,376
Retailer,80,0,46,79
Distributor,369,0,0,599
Wholesaler,146,46,46,160
Retailer,79,0,12,104
Distributor,369,46,0,443
Wholesaler,100,12,24,88
Retailer,104,0,0,134
Distributor,323,24,0,299
Wholesaler,88,0,0,184
Retailer,134,0,10,118
Distributor,299,0,0,299
Wholesaler,134,10,0,248
Retailer,118,0,20,99
Distributor,299,0,0,299
Wholesaler,148,20,0,393
Retailer,99,0,53,78
Distributor,299,0,0,689
Wholesaler,128,53,78,285
Retailer,78,0,42,78
Distributor,299,78,0,766
Wholesaler,75,42,109,78
Retailer,78,0,9,111
Distributor,221,109,97,147
Wholesaler,33,9,7,107
Retailer,111,0,1,126
Distributor,112,7,2,105
Wholesaler,102,1,0,365
Retailer,126,0,31,102
Distributor,105,0,0,202
Wholesaler,210,31,0,801
Retailer,102,0,123,40
Distributor,202,0,0,1004
Wholesaler,186,123,160,518
Retailer,40,0,91,40
Distributor,204,160,216,859
Wholesaler,63,91,163,140
Retailer,40,0,0,141
Distributor,44,163,144,595
Wholesaler,0,28,0,132
Retailer,141,0,0,180
Distributor,0,119,200,95
Wholesaler,132,0,0,176
Retailer,180,0,0,178
Distributor,0,19,38,81
Wholesaler,176,0,0,276
Retailer,178,0,0,159
Distributor,81,0,0,181
Wholesaler,276,0,0,310
Retailer,159,0,3,128
Distributor,181,0,0,281
Wholesaler,295,3,0,382
Retailer,128,0,18,105
Distributor,281,0,0,381
Wholesaler,292,18,0,434
Retailer,105,0,32,88
Distributor,381,0,0,479
Wholesaler,274,32,0,542
Retailer,88,0,60,73
Distributor,479,0,0,479
Wholesaler,242,60,0,417
Retailer,73,0,47,79
Distributor,479,0,0,539
Wholesaler,182,47,12,270
Retailer,79,0,27,106
Distributor,479,12,0,562
Wholesaler,135,27,19,143
Retailer,106,0,7,123
Distributor,467,19,0,448
Wholesaler,108,7,0,173
Retailer,123,0,12,119
Distributor,448,0,0,448
Wholesaler,113,12,0,210
Retailer,119,0,18,104
Distributor,448,0,0,528
Wholesaler,120,18,16,372
Retailer,104,0,54,81
Distributor,448,16,0,962
Wholesaler,102,54,106,323
Retailer,81,0,55,72
Distributor,432,106,0,1056
Wholesaler,48,55,146,149
Retailer,72,0,28,99
Distributor,326,146,66,385
Wholesaler,9,28,41,87
Retailer,99,0,0,139
Distributor,180,41,2,139
Wholesaler,87,0,0,418
Retailer,139,0,37,115
Distributor,139,0,0,205
Wholesaler,233,37,0,432
Retailer,115,0,39,88
Distributor,205,0,0,207
Wholesaler,237,39,0,403
Retailer,88,0,41,92
Distributor,207,0,0,207
Wholesaler,198,41,0,352
Retailer,92,0,39,96
Distributor,207,0,0,312
Wholesaler,157,39,21,133
Retailer,96,0,3,117
Distributor,207,21,0,186
Wholesaler,118,3,0,115
Retailer,117,0,0,140
Distributor,186,0,0,186
Wholesaler,115,0,0,211
Retailer,140,0,15,114
Distributor,186,0,0,186
Wholesaler,136,15,0,241
Retailer,114,0,24,95
Distributor,186,0,0,321
Wholesaler,121,24,27,757
Retailer,95,0,132,39
Distributor,186,27,0,1144
Wholesaler,97,132,197,540
Retailer,39,0,73,45
Distributor,159,197,259,825
Wholesaler,0,108,127,525
Retailer,45,0,24,109
Distributor,0,165,100,1580
Wholesaler,0,105,151,54
Retailer,109,0,0,121
Distributor,0,316,200,1310
Wholesaler,54,0,46,54
Retailer,121,0,0,202
Distributor,0,262,200,810
Wholesaler,54,0,0,154
Retailer,202,0,0,180
Distributor,0,162,200,310
Wholesaler,154,0,0,254
Retailer,180,0,0,161
Distributor,0,62,124,38
Wholesaler,254,0,0,354
Retailer,161,0,0,145
Distributor,100,0,0,100
Wholesaler,100,0,0,400
Retailer,100,0,60,70
Distributor,100,0,0,700
Wholesaler,100,60,120,430
Retailer,70,0,78,46
Distributor,100,120,200,800
Wholesaler,40,78,140,420
Retailer,46,0,46,80
Distributor,0,160,100,1640
Wholesaler,0,84,168,246
Retailer,80,0,46,87
Distributor,0,328,200,1720
Wholesaler,16,46,116,545
Retailer,87,0,79,96
Distributor,0,344,200,2220
Wholesaler,0,109,200,305
Retailer,96,0,52,80
Distributor,0,444,200,2330
Wholesaler,0,61,122,39
Retailer,80,0,0,155
Distributor,0,466,200,1830
Wholesaler,39,0,0,139
Retailer,155,0,0,181
Distributor,0,366,200,1330
Wholesaler,139,0,0,239
Retailer,181,0,0,150
Distributor,0,266,200,830
Wholesaler,239,0,0,359
Retailer,150,0,4,123
Distributor,0,166,200,330
Wholesaler,339,4,0,570
Retailer,123,0,27,98
Distributor,0,66,132,34
Wholesaler,435,27,0,838
Retailer,98,0,66,68
Distributor,34,0,0,134
Wholesaler,508,66,0,843
Retailer,68,0,67,64
Distributor,134,0,0,234
Wholesaler,508,67,0,511
Retailer,64,0,14,108
Distributor,234,0,0,334
Wholesaler,441,14,0,602
Retailer,108,0,35,120
Distributor,334,0,0,434
Wholesaler,427,35,0,572
Retailer,120,0,36,99
Distributor,434,0,0,534
Wholesaler,392,36,0,516
Retailer,99,0,32,101
Distributor,534,0,0,634
Wholesaler,356,32,0,479
Retailer,101,0,31,103
Distributor,634,0,0,734
Wholesaler,324,31,0,348
Retailer,103,0,11,112
Distributor,734,0,0,834
Wholesaler,293,11,0,407
Retailer,112,0,25,109
Distributor,834,0,0,934
Wholesaler,282,25,0,457
Retailer,109,0,40,90
Distributor,934,0,0,1034
Wholesaler,257,40,0,312
Retailer,90,0,19,98
Distributor,1034,0,0,1066
Wholesaler,217,19,0,208
Retailer,98,0,2,118
Distributor,1066,0,0,1066
Wholesaler,198,2,0,281
Retailer,118,0,17,110
Distributor,1066,0,0,1066
Wholesaler,196,17,0,289
Retailer,110,0,22,95
Distributor,1066,0,0,1066
Wholesaler,179,22,0,347
Retailer,95,0,38,87
Distributor,1066,0,0,1161
Wholesaler,157,38,19,854
Retailer,87,0,147,31
Distributor,1066,19,0,2142
Wholesaler,119,147,219,475
Retailer,31,0,67,51
Distributor,1047,219,0,1423
Wholesaler,0,95,119,380
Retailer,51,0,0,140
Distributor,828,119,0,874
Wholesaler,0,76,33,143
Retailer,140,0,0,133
Distributor,709,33,0,676
Wholesaler,143,0,0,262
Retailer,133,0,0,188
Distributor,676,0,0,676
Wholesaler,262,0,0,295
Retailer,188,0,0,154
Distributor,676,0,0,676
Wholesaler,295,0,0,295
Retailer,154,0,0,127
Distributor,676,0,0,676
Wholesaler,295,0,0,320
Retailer,127,0,5,111
Distributor,676,0,0,676
Wholesaler,295,5,0,565
Retailer,111,0,55,78
Distributor,676,0,0,676
Wholesaler,290,55,0,630
Retailer,78,0,79,52
Distributor,676,0,0,791
Wholesaler,235,79,23,291
Retailer,52,0,27,90
Distributor,676,23,0,653
Wholesaler,156,27,0,129
Retailer,90,0,0,138
Distributor,653,0,0,653
Wholesaler,129,0,0,152
Retailer,138,0,0,146
Distributor,653,0,0,653
Wholesaler,152,0,0,212
Retailer,146,0,12,117
Distributor,653,0,0,653
Wholesaler,152,12,0,335
Retailer,117,0,39,89
Distributor,653,0,0,843
Wholesaler,140,39,38,426
Retailer,89,0,65,68
Distributor,653,38,0,1260
Wholesaler,101,65,129,291
Retailer,68,0,51,78
Distributor,615,129,0,1126
Wholesaler,36,51,128,138
Retailer,78,0,23,110
Distributor,486,128,0,358
Wholesaler,23,23,0,129
Retailer,110,0,0,131
Distributor,358,0,0,358
Wholesaler,129,0,0,257
Retailer,131,0,0,133
Distributor,358,0,0,358
Wholesaler,257,0,0,257
Retailer,133,0,0,118
Distributor,358,0,0,358
Wholesaler,257,0,0,427
Retailer,118,0,34,92
Distributor,358,0,0,358
Wholesaler,257,34,0,443
Retailer,92,0,44,74
Distributor,358,0,0,358
Wholesaler,223,44,0,469
Retailer,74,0,58,75
Distributor,358,0,0,543
Wholesaler,179,58,37,316
Retailer,75,0,39,90
Distributor,358,37,0,606
Wholesaler,121,39,57,152
Retailer,90,0,14,117
Distributor,321,57,0,309
Wholesaler,82,14,9,165
Retailer,117,0,12,122
Distributor,264,9,0,255
Wholesaler,105,12,0,150
Retailer,122,0,0,119
Distributor,255,0,0,255
Wholesaler,150,0,0,284
Retailer,119,0,25,103
Distributor,255,0,0,255
Wholesaler,159,25,0,349
Retailer,103,0,43,80
Distributor,255,0,0,515
Wholesaler,134,43,52,216
Retailer,80,0,25,90
Distributor,255,52,0,498
Wholesaler,91,25,59,171
Retailer,90,0,21,106
Distributor,203,59,15,264
Wholesaler,66,21,24,172
Retailer,106,0,15,108
Distributor,144,24,4,120
Wholesaler,97,15,0,146
Retailer,108,0,1,114
Distributor,120,0,0,135
Wholesaler,141,1,0,239
Retailer,114,0,15,107
Distributor,135,0,0,139
Wholesaler,164,15,0,319
Retailer,107,0,34,87
Distributor,139,0,0,234
Wholesaler,149,34,19,365
Retailer,87,0,50,76
Distributor,139,19,0,545
Wholesaler,115,50,85,215
Retailer,76,0,30,90
Distributor,120,85,150,415
Wholesaler,65,30,76,154
Retailer,90,0,20,110
Distributor,35,76,135,210
Wholesaler,54,20,1,199
Retailer,110,0,16,112
Distributor,0,42,84,58
Wholesaler,119,16,0,248
Retailer,112,0,22,105
Distributor,58,0,0,158
Wholesaler,138,22,0,303
Retailer,105,0,29,96
Distributor,158,0,0,258
Wholesaler,158,29,0,299
Retailer,96,0,34,92
Distributor,258,0,0,522
Wholesaler,129,34,39,160
Retailer,92,0,13,104
Distributor,327,39,0,443
Wholesaler,95,13,31,82
Retailer,104,0,0,122
Distributor,288,31,0,257
Wholesaler,82,0,0,206
Retailer,122,0,17,109
Distributor,257,0,0,257
Wholesaler,121,17,0,330
Retailer,109,0,39,85
Distributor,257,0,0,472
Wholesaler,135,39,43,426
Retailer,85,0,66,68
Distributor,257,43,0,894
Wholesaler,96,66,136,345
Retailer,68,0,63,72
Distributor,214,136,158,843
Wholesaler,30,63,153,580
Retailer,72,0,114,62
Distributor,78,153,178,1285
Wholesaler,10,114,182,257
Retailer,62,0,45,90
Distributor,0,257,200,1185
Wholesaler,32,45,80,65
Retailer,90,0,0,173
Distributor,0,237,200,685
Wholesaler,65,0,0,165
Retailer,173,0,0,194
Distributor,0,137,200,185
Wholesaler,165,0,0,265
Retailer,194,0,0,167
Distributor,0,37,74,63
Wholesaler,265,0,0,365
Retailer,167,0,0,150
Distributor,63,0,0,163
Wholesaler,365,0,0,402
Retailer,150,0,0,135
Distributor,163,0,0,263
Wholesaler,402,0,0,402
Retailer,135,0,0,119
Distributor,263,0,0,363
Wholesaler,402,0,0,577
Retailer,119,0,35,92
Distributor,363,0,0,463
Wholesaler,402,35,0,627
Retailer,92,0,52,70
Distributor,463,0,0,563
Wholesaler,367,52,0,480
Retailer,70,0,33,86
Distributor,563,0,0,663
Wholesaler,315,33,0,302
Retailer,86,0,4,117
Distributor,663,0,0,673
Wholesaler,282,4,0,298
Retailer,117,0,4,123
Distributor,673,0,0,673
Wholesaler,278,4,0,289
Retailer,123,0,3,112
Distributor,673,0,0,673
Wholesaler,274,3,0,351
Retailer,112,0,16,100
Distributor,673,0,0,673
Wholesaler,271,16,0,490
Retailer,100,0,47,78
Distributor,673,0,0,673
Wholesaler,255,47,0,428
Retailer,78,0,44,75
Distributor,673,0,0,673
Wholesaler,208,44,0,264
Retailer,75,0,20,101
Distributor,673,0,0,673
Wholesaler,164,20,0,159
Retailer,101,0,3,121
Distributor,673,0,0,673
Wholesaler,144,3,0,141
Retailer,121,0,0,124
Distributor,673,0,0,673
Wholesaler,141,0,0,226
Retailer,124,0,17,105
Distributor,673,0,0,673
Wholesaler,141,17,0,309
Retailer,105,0,37,84
Distributor,673,0,0,923
Wholesaler,124,37,50,422
Retailer,84,0,67,67
Distributor,673,50,0,1358
Wholesaler,87,67,147,290
Retailer,67,0,54,75
Distributor,623,147,0,1166
Wholesaler,20,54,138,16
Retailer,75,0,0,127
Distributor,100,0,0,100
Wholesaler,100,0,0,290
Retailer,100,0,38,81
Distributor,100,0,0,480
Wholesaler,100,38,76,317
Retailer,81,0,51,65
Distributor,100,76,152,724
Wholesaler,62,51,140,226
Retailer,65,0,43,80
Distributor,24,140,124,1075
Wholesaler,11,43,99,219
Retailer,80,0,35,98
Distributor,0,215,200,1085
Wholesaler,44,35,102,78
Retailer,98,0,9,116
Distributor,0,217,200,585
Wholesaler,33,9,0,129
Retailer,116,0,1,125
Distributor,0,117,200,85
Wholesaler,124,1,0,273
Retailer,125,0,10,112
Distributor,0,17,34,83
Wholesaler,223,10,0,578
Retailer,112,0,53,80
Distributor,83,0,0,183
Wholesaler,313,53,0,487
Retailer,80,0,42,74
Distributor,183,0,0,283
Wholesaler,277,42,0,440
Retailer,74,0,41,93
Distributor,283,0,0,383
Wholesaler,235,41,0,309
Retailer,93,0,23,106
Distributor,383,0,0,483
Wholesaler,194,23,0,171
Retailer,106,0,0,128
Distributor,483,0,0,583
Wholesaler,171,0,0,266
Retailer,128,0,19,116
Distributor,583,0,0,593
Wholesaler,171,19,0,312
Retailer,116,0,32,92
Distributor,593,0,0,653
Wholesaler,152,32,12,355
Retailer,92,0,47,82
Distributor,593,12,0,951
Wholesaler,120,47,74,213
Retailer,82,0,28,93
Distributor,581,74,0,862
Wholesaler,73,28,71,57
Retailer,93,0,0,124
Distributor,507,71,0,436
Wholesaler,57,0,0,131
Retailer,124,0,0,127
Distributor,436,0,0,436
Wholesaler,131,0,0,297
Retailer,127,0,19,104
Distributor,436,0,0,436
Wholesaler,202,19,0,343
Retailer,104,0,32,86
Distributor,436,0,0,436
Wholesaler,183,32,0,396
Retailer,86,0,49,78
Distributor,436,0,0,671
Wholesaler,151,49,47,822
Retailer,78,0,144,33
Distributor,436,47,0,1399
Wholesaler,102,144,202,620
Retailer,33,0,82,50
Distributor,389,202,115,922
Wholesaler,0,124,147,385
Retailer,50,0,0,137
Distributor,187,147,207,300
Wholesaler,0,77,52,125
Retailer,137,0,0,168
Distributor,40,52,64,88
Wholesaler,125,0,0,272
Retailer,168,0,0,185
Distributor,88,0,0,188
Wholesaler,272,0,0,324
Retailer,185,0,0,167
Distributor,188,0,0,288
Wholesaler,324,0,0,324
Retailer,167,0,0,134
Distributor,288,0,0,374
Wholesaler,324,0,0,484
Retailer,134,0,32,101
Distributor,374,0,0,374
Wholesaler,324,32,0,457
Retailer,101,0,33,84
Distributor,374,0,0,374
Wholesaler,292,33,0,439
Retailer,84,0,36,90
Distributor,374,0,0,374
Wholesaler,259,36,0,288
Retailer,90,0,13,105
Distributor,374,0,0,374
Wholesaler,223,13,0,215
Retailer,105,0,1,120
Distributor,374,0,0,374
Wholesaler,210,1,0,334
Retailer,120,0,25,104
Distributor,374,0,0,374
Wholesaler,209,25,0,399
Retailer,104,0,43,81
Distributor,374,0,0,384
Wholesaler,184,43,2,371
Retailer,81,0,46,80
Distributor,374,2,0,627
Wholesaler,141,46,51,200
Retailer,80,0,21,101
Distributor,372,51,0,546
Wholesaler,95,21,45,161
Retailer,101,0,17,115
Distributor,321,45,0,311
Wholesaler,76,17,7,170
Retailer,115,0,12,112
